baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000125255	694.660279107968	6.46433260384619	0.252147639221106	954.781840168636	1.21141237391674e-209	2.09865079657336e-205
ENSG00000272602	539.089117722779	4.66437851232501	0.170435504609844	767.212268686931	7.2592321760449e-169	6.2879469108901e-165
ENSG00000165757	774.459027448524	-3.68939063863639	0.138707994372537	684.919843646612	5.68897576088139e-151	3.28519386938364e-147
ENSG00000129654	498.115011021511	4.74028634488684	0.192636399785599	679.466705570374	8.72767776346914e-150	3.77995723935849e-146
ENSG00000164266	2893.43673260582	3.05679166829304	0.112088560177167	659.326039229272	2.09364683938179e-145	7.25406756909003e-142
ENSG00000173175	1595.80479087444	2.59517506064974	0.0994615601852373	639.627875052023	4.02598099833276e-141	1.16243491358528e-137
ENSG00000057019	7354.96061112604	-2.28020297255984	0.0866328688896983	637.54397461988	1.14311879685295e-140	2.82905571952579e-137
ENSG00000047457	580.959860821657	3.82578996750745	0.158731948387684	592.154828313247	8.5153969341933e-131	1.84400920609956e-127
ENSG00000053747	2991.99738252958	-2.40629899724581	0.0972141835334941	566.395972385882	3.41423869873719e-125	6.57203013521367e-122
ENSG00000187908	28889.5749798551	2.4375449855253	0.0976224520187586	562.358734015882	2.57938965091673e-124	4.46853463124815e-121
ENSG00000131771	4142.91574295101	2.5562465406322	0.103793234694218	550.674306367526	8.98051522436382e-122	1.41434950678981e-118
ENSG00000165272	755.578381877777	3.42854484739379	0.144951355076829	528.341313399768	6.48344972985807e-117	9.35994026000511e-114
ENSG00000058085	10946.4891216417	-2.83753647958774	0.11800916392545	507.114625121865	2.69149192159493e-112	3.58672354228543e-109
ENSG00000086696	8527.3733723431	1.53925195161866	0.0680095341164968	492.536724975653	3.99808973528836e-109	4.94735046958111e-106
ENSG00000071054	4665.75296555761	-1.69489744326892	0.076997452012251	463.764083427131	7.29069410189912e-103	8.42026564142002e-100
ENSG00000134954	1688.04513417995	-2.05652408929666	0.098990743071406	410.853486687946	2.38970782208058e-91	2.58745614435775e-88
ENSG00000122861	3499.44851985611	-2.77358581906585	0.12929386709713	409.931706871645	3.79308114461483e-91	3.86537280878279e-88
ENSG00000118257	2457.72310259612	-1.75581145701291	0.0851018109392061	409.373266507873	5.01822935053379e-91	4.8297669593693e-88
ENSG00000171310	1000.61517799244	-2.65562170720994	0.127431301317282	405.055482785656	4.36954924110787e-90	3.98410900278699e-87
ENSG00000115414	2442.22809976418	-2.40579716289155	0.114819034197961	404.244734954891	6.56026283483883e-90	5.68249966753739e-87
ENSG00000196878	7485.91346890189	-1.60206278181028	0.0786778828846968	397.064003178196	2.39921998209037e-88	1.97924223665398e-85
ENSG00000119922	2383.53369591756	-1.72456547031001	0.0869612988775207	378.211305119511	3.05063755758856e-84	2.40223841125747e-81
ENSG00000127920	358.965886029769	3.85075847933314	0.199581565170734	374.080506340318	2.41966014049364e-83	1.82253009886573e-80
ENSG00000119917	1775.42535561478	-1.94123373231846	0.0988912115773963	367.873442424495	5.43519543426467e-82	3.92330523763338e-79
ENSG00000117525	1679.19715086566	-2.44291307695398	0.123157834974662	363.965441451719	3.85596808717204e-81	2.67203164568674e-78
ENSG00000105974	1736.43450710152	-2.99899197638895	0.150285191181382	353.157626883029	8.70022145369912e-79	5.79702447938014e-76
ENSG00000124882	1923.86741353346	-1.95664931045243	0.102811667453649	344.373249176458	7.11987472432864e-77	4.56832258238035e-74
ENSG00000138623	1033.33612503547	-3.13540131078253	0.160868785156923	340.585056623062	4.75834576142733e-76	2.94405649896311e-73
ENSG00000137965	1367.40514365931	-1.77136381901347	0.0947221918267311	338.710309514942	1.21827067115964e-75	7.27769693350677e-73
ENSG00000196923	2244.79099481954	-1.91796510827044	0.103419753888188	326.555110532039	5.40879662941288e-73	3.12339976026496e-70
ENSG00000165376	2878.15801003296	1.59106196005369	0.0868956391053361	323.313879668826	2.74838726475803e-72	1.53590519273123e-69
ENSG00000197632	312.495896426571	-4.61264193113771	0.265017884620726	307.512176958203	7.6065396730648e-69	4.11799041550546e-66
ENSG00000135480	23772.9454578977	-1.44913815537379	0.0831686168595188	291.988619541546	1.83340804734723e-65	9.6248366703768e-63
ENSG00000011422	993.711655068024	-1.83092120056575	0.106889679505576	284.67245842727	7.20138435363043e-64	3.66931713359687e-61
ENSG00000163220	604.505257045139	2.88167790217504	0.165406104929342	283.148606770286	1.54694052110383e-63	7.65691359645792e-61
ENSG00000100097	2470.11553478067	-2.12829783465669	0.122215509461071	283.034540240269	1.63805973811951e-63	7.88270747310623e-61
