baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	1175.35407410695	0.336668571006739	0.128764249497269	6.82258635096318	0.00900121196241819	0.0415300417251942
ENSG00000000419	2375.4583913021	0.593640555805495	0.148964904105193	15.7765962820852	7.12787919120205e-05	0.000711845908654408
ENSG00000000457	549.663079151559	0.105827187569693	0.136347719009635	0.602197543984204	0.437740789765459	0.661299844891904
ENSG00000000460	389.999188823357	-0.171582140474619	0.176371301710545	0.945836943494058	0.330781236147613	0.558006530926595
ENSG00000001036	1316.28556745823	-0.154732924901289	0.0948819010203336	2.65881707588498	0.102977292624359	0.259429537491023
ENSG00000001167	426.729814754341	-0.18048741261059	0.146168369310554	1.52453639113048	0.216934290699427	0.427537290003628
ENSG00000001460	218.268478987939	-0.238107987332925	0.202714828596738	1.3784230489326	0.240369942164626	0.457047821594796
ENSG00000001461	709.878775495066	-0.164966854436905	0.137286360128421	1.44331439663083	0.229603751195811	0.443714188140817
ENSG00000001497	638.662185983024	-0.0522502059740333	0.163095850175076	0.102685055874971	0.74863094899682	0.877524538837186
ENSG00000001561	687.029402394513	-0.0881359513409639	0.197643258949015	0.198803720739789	0.655688185764635	0.820199068556672
ENSG00000001617	88.4394350699853	-0.263359055933727	0.299758444592593	0.771414751683267	0.379779743113118	0.609413944009548
ENSG00000001626	631.872570080633	-0.997761652254258	0.136678385346711	52.6343261877941	4.01804777423254e-13	1.87536470968518e-11
ENSG00000001629	2855.44929214102	-0.0316980436507333	0.117206530739987	0.0731537669385744	0.786799054795694	0.898910577729338
ENSG00000001630	6444.24048168454	-0.023819893030338	0.137970149380281	0.0298073000729602	0.862928192302131	0.937455768452068
ENSG00000001631	1259.47128908902	-0.135540269634032	0.11170195383962	1.47171031947239	0.225076037593802	0.438195514731449
ENSG00000002016	138.689025869411	-0.362267388685328	0.257382739218583	1.9763404660155	0.159776462483111	0.351248484049166
ENSG00000002330	537.132364568303	-0.116607244071265	0.145764494842365	0.640141687508972	0.423659494730272	0.649319948426526
ENSG00000002549	905.117236708143	0.255287724624199	0.14710420626537	3.00890233633952	0.0828083496010266	0.22267185223696
ENSG00000002586	404.881647407189	-0.218136665347456	0.142349916490808	2.34774334355941	0.12546451502879	0.297919555437957
ENSG00000002587	461.106444140636	-0.557978778183595	0.223570210333662	6.18150092215772	0.0129092726246776	0.0550691524948949
ENSG00000002745	16.47296625466	-0.268291670830054	0.635136636575265	0.178794306247056	0.672411448608099	0.830183462122648
ENSG00000002822	482.538404288131	-0.774758292912715	0.151267319959878	26.056927627758	3.31497267263602e-07	6.03271804381434e-06
ENSG00000002834	11139.8148681393	0.249262111681855	0.0895970669303899	7.73093355853386	0.00542826756632754	0.0275916649615797
ENSG00000002919	944.088868489885	0.158130603800312	0.115866539065449	1.8617327892797	0.172424944692185	0.369458742549323
ENSG00000003056	2104.83073263622	0.0952608141155783	0.0895902714268347	1.13053819038431	0.287660571030823	0.513073627716333
ENSG00000003137	429.441176231045	0.0833992983292088	0.232078080452893	0.130004116316826	0.718427771011097	0.86010790631272
ENSG00000003147	1303.72688543672	-0.597454790923097	0.123132998606997	23.4148794248295	1.30564720788902e-06	2.06573435114565e-05
ENSG00000003249	1260.55873935525	-0.164034211401919	0.134760660770129	1.48102992830071	0.223613449974463	0.436443402851402
ENSG00000003393	1070.45878756272	-0.412196672697808	0.116802887225843	12.4238238171423	0.000423891421101884	0.00328453757884072
ENSG00000003400	353.408601125676	-0.20776866422531	0.162977927177039	1.62427872634231	0.202496210893213	0.409456214406779
ENSG00000003402	1812.81319359287	-0.698963589222881	0.093357810874721	55.6746249197718	8.55150019505246e-14	4.37754053533186e-12
ENSG00000003436	1456.31179554258	-0.226698068000851	0.14155064526751	2.56197016986705	0.109462093847311	0.270602038370284
ENSG00000003509	237.934159819673	0.0602082267517632	0.182607847820746	0.108717364022993	0.741609150307254	0.873559650105836
ENSG00000003756	1489.92746121621	-0.569927198020046	0.175664552538693	10.459024977589	0.00122051682463794	0.00811482631228506
ENSG00000003987	16.9316493520125	2.10500480954873	0.837709642264896	6.11041945950539	0.0134387231240915	0.056763134750122
ENSG00000003989	1039.43555600861	0.266265232957013	0.120585781856291	4.86896967251471	0.0273438215224425	0.0993404541528481
ENSG00000004059	2062.54128498676	-0.690417586222502	0.106467374659841	41.7353696523297	1.04501303450064e-10	3.41923955556509e-09
ENSG00000004139	534.414595835356	0.152631216656761	0.152527502987387	1.00099855513464	0.317069007329316	0.543953305655018
ENSG00000004142	3467.82215942925	0.0276663668989816	0.0932233016345816	0.0881007203652331	0.766605725778322	0.887520073396516
ENSG00000004455	2884.55102148043	-0.0231507954119343	0.0858877238946183	0.0726575749499432	0.787505939449356	0.899253921934362
ENSG00000004478	3631.45455609751	-0.659659902597386	0.114375376669495	33.0083943907238	9.17618225273422e-09	2.20631569952484e-07
ENSG00000004487	1689.92712661985	-0.105586827794508	0.135555533393139	0.606722915076944	0.436024365336223	0.659983847149992
ENSG00000004534	768.340155929547	-0.476670961037747	0.116586509517917	16.6760672516013	4.43368291753326e-05	0.000471253276747055
ENSG00000004660	97.1497217815963	0.229135296397041	0.294691083096038	0.605537411225733	0.436473018436723	0.660209098441429
ENSG00000004700	937.93924648835	0.254703424004518	0.145882929701368	3.04386878129804	0.0810425592404835	0.219539838270268
ENSG00000004766	1675.91924683053	0.0895210408822268	0.146106647345452	0.375300747951968	0.540128989126748	0.741988735135185
ENSG00000004777	60.183449155382	-0.626171373256498	0.510616536315062	1.48013643616753	0.223753176819601	0.436470821036235
ENSG00000004779	1661.27807701433	-0.004158658117325	0.106354610098837	0.00152989992174923	0.96879955084039	0.985505132838855
ENSG00000004799	363.480155110581	-0.199520306297883	0.207734290858377	0.921220026618457	0.33715483690655	0.565098843852683
ENSG00000004838	15.7051491629046	-0.205027792051463	0.686423095332454	0.089125674297442	0.765291636037651	0.886906665616117
ENSG00000004864	1315.21670188027	-0.768462898661434	0.118840398900574	41.4376573365282	1.21690469540508e-10	3.95718455151294e-09
ENSG00000004866	418.476145318573	-0.0940672889603562	0.161490659036198	0.339511125600659	0.560111545479619	0.754918474198749
ENSG00000004897	2889.68278081097	0.0713966548652548	0.135464868398692	0.27770991256601	0.598206164647214	0.782664162485501
ENSG00000004961	518.970032365544	-0.00649720536409015	0.169345066647395	0.00147896341636056	0.969323081198299	0.985626481719066
ENSG00000004975	727.860846831895	0.0576908661211852	0.114411328066877	0.254236601337674	0.614107628589426	0.792169887667502
