baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000129538	3095.66821616654	-4.37845124885549	0.102778419471737	1581.58430461586	0	0
ENSG00000198074	5643.41468329325	4.9055069971588	0.110570569362929	1568.2610422817	0	0
ENSG00000151632	12481.1109579112	7.11493979360678	0.15938268144899	1323.34460249467	9.55315368837417e-290	5.05329986269366e-286
ENSG00000187134	3762.31017061969	5.03424592278767	0.128996506956625	1232.6984704245	4.77626324048498e-270	1.89486303408141e-266
ENSG00000196154	11686.4327010098	-2.85789994703342	0.0776380581825731	1196.25669899373	3.97030549415494e-262	1.2600955577349e-258
ENSG00000198848	354.497726789747	10.0197073564198	1.03092107874441	783.633126082505	1.95236031731401e-172	5.16366764590934e-169
ENSG00000104327	1195.75318846012	3.54129230869482	0.125431742420446	738.672996410434	1.16499712067648e-162	2.64104847257357e-159
ENSG00000108602	6349.55122018025	3.12525622360007	0.107958270534758	726.15899910565	6.12921740217453e-160	1.21580688693885e-156
ENSG00000118523	958.832306988324	2.77493714532126	0.115951482129913	546.066660088548	9.02935880857968e-121	1.59207661037057e-117
ENSG00000002933	334.413200273434	-4.6846400350546	0.226630708302346	470.807543047342	2.13816770259234e-104	3.39305832724378e-101
ENSG00000101825	195.255181159027	-11.0614402412083	1.19481060611107	461.823314842724	1.92800499737396e-102	2.7814101184843e-99
ENSG00000089820	420.985490690621	-4.32206595057452	0.210642467193139	455.61481140249	4.3270696017581e-101	5.7221889591916e-98
ENSG00000137628	1269.32976339898	2.458726853799	0.112822782862092	447.188554969353	2.95099197669952e-99	3.60225320601882e-96
ENSG00000126709	410.641032497173	3.73158891030998	0.178800271566955	438.913920783883	1.86560444844587e-97	2.1146626423134e-94
ENSG00000180730	872.251850257261	2.8446699985094	0.132155870677984	435.158141338869	1.22527730641242e-96	1.29626170503058e-93
ENSG00000186529	764.283645092513	2.91109263552154	0.135996447952612	433.246587233742	3.19355733516545e-96	3.16741008448378e-93
