	log2FoldChange	padj	external_gene_name	Description
ENSG00000125255	6.46433260384619	2.09865079657336e-205	SLC10A2	solute carrier family 10 member 2
ENSG00000272602	4.66437851232501	6.2879469108901e-165	ZNF595	zinc finger protein 595
ENSG00000165757	-3.68939063863639	3.28519386938364e-147	JCAD	junctional cadherin 5 associated
ENSG00000129654	4.74028634488684	3.77995723935849e-146	FOXJ1	forkhead box J1
ENSG00000164266	3.05679166829304	7.25406756909003e-142	SPINK1	serine peptidase inhibitor Kazal type 1
ENSG00000173175	2.59517506064974	1.16243491358528e-137	ADCY5	adenylate cyclase 5
ENSG00000057019	-2.28020297255984	2.82905571952579e-137	DCBLD2	discoidin, CUB and LCCL domain containing 2
ENSG00000047457	3.82578996750745	1.84400920609956e-127	CP	ceruloplasmin
ENSG00000053747	-2.40629899724581	6.572030135213669e-122	LAMA3	laminin subunit alpha 3
ENSG00000187908	2.4375449855253	4.46853463124815e-121	DMBT1	deleted in malignant brain tumors 1
ENSG00000131771	2.5562465406322	1.41434950678981e-118	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
ENSG00000165272	3.42854484739379	9.35994026000511e-114	AQP3	aquaporin 3 (Gill blood group)
ENSG00000058085	-2.83753647958774	3.58672354228543e-109	LAMC2	laminin subunit gamma 2
ENSG00000086696	1.53925195161866	4.94735046958111e-106	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2
ENSG00000071054	-1.69489744326892	8.42026564142002e-100	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
ENSG00000134954	-2.05652408929666	2.58745614435775e-88	ETS1	ETS proto-oncogene 1, transcription factor
ENSG00000122861	-2.77358581906585	3.86537280878279e-88	PLAU	plasminogen activator, urokinase
ENSG00000118257	-1.75581145701291	4.8297669593693e-88	NRP2	neuropilin 2
ENSG00000171310	-2.65562170720994	3.98410900278699e-87	CHST11	carbohydrate sulfotransferase 11
ENSG00000115414	-2.40579716289155	5.68249966753739e-87	FN1	fibronectin 1
ENSG00000196878	-1.60206278181028	1.97924223665398e-85	LAMB3	laminin subunit beta 3
ENSG00000119922	-1.72456547031001	2.4022384112574697e-81	IFIT2	interferon induced protein with tetratricopeptide repeats 2
ENSG00000127920	3.85075847933314	1.82253009886573e-80	GNG11	G protein subunit gamma 11
ENSG00000119917	-1.94123373231846	3.92330523763338e-79	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ENSG00000117525	-2.44291307695398	2.67203164568674e-78	F3	coagulation factor III, tissue factor
ENSG00000105974	-2.99899197638895	5.79702447938014e-76	CAV1	caveolin 1
ENSG00000124882	-1.95664931045243	4.56832258238035e-74	EREG	epiregulin
ENSG00000138623	-3.13540131078253	2.94405649896311e-73		
ENSG00000137965	-1.77136381901347	7.27769693350677e-73	IFI44	interferon induced protein 44
ENSG00000196923	-1.91796510827044	3.12339976026496e-70	PDLIM7	PDZ and LIM domain 7
ENSG00000165376	1.59106196005369	1.53590519273123e-69	CLDN2	claudin 2
ENSG00000197632	-4.61264193113771	4.11799041550546e-66	SERPINB2	serpin family B member 2
ENSG00000135480	-1.44913815537379	9.624836670376799e-63	KRT7	keratin 7
ENSG00000011422	-1.83092120056575	3.66931713359687e-61	PLAUR	plasminogen activator, urokinase receptor
ENSG00000163220	2.88167790217504	7.65691359645792e-61	S100A9	S100 calcium binding protein A9
ENSG00000100097	-2.12829783465669	7.88270747310623e-61	LGALS1	galectin 1
ENSG00000187608	-1.9390558083078	2.0819613014399902e-60	ISG15	ISG15 ubiquitin like modifier
ENSG00000164236	-1.97927439514823	2.30039155379153e-58	ANKRD33B	ankyrin repeat domain 33B
ENSG00000178053	1.69522109447281	2.5080888661627803e-58	MLF1	myeloid leukemia factor 1
ENSG00000119938	2.1854816341323	2.5599321767304503e-58	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
ENSG00000007062	1.76638867009582	1.33125773433634e-57	PROM1	prominin 1
ENSG00000271503	-2.77762968846198	2.58859659086535e-57		
ENSG00000137767	-1.56365143670497	5.60190271425024e-57	SQOR	sulfide quinone oxidoreductase
ENSG00000138119	-1.52677736924898	1.05035337640393e-56	MYOF	myoferlin
ENSG00000167741	3.69824123611978	1.1174268324203599e-56	GGT6	gamma-glutamyltransferase 6
ENSG00000167653	1.75588310597723	1.36142759692869e-56	PSCA	prostate stem cell antigen
ENSG00000176014	-1.64485161605774	2.4517766075863297e-56	TUBB6	tubulin beta 6 class V
ENSG00000008517	-2.11816169320424	8.847606381541239e-56	IL32	interleukin 32
ENSG00000092929	-2.1115072872722	1.1579426142676598e-55	UNC13D	unc-13 homolog D
ENSG00000188910	-1.66499955860879	1.6089400273062001e-53	GJB3	gap junction protein beta 3
ENSG00000257743	1.99822676017392	6.13886090594504e-52		
ENSG00000135114	-1.66358143340237	9.43569237192014e-51	OASL	2'-5'-oligoadenylate synthetase like
ENSG00000138131	-1.8334473147967	2.2493353707330996e-50	LOXL4	lysyl oxidase like 4
ENSG00000178209	-1.26568465068457	3.8911030137400996e-50	PLEC	plectin
ENSG00000188042	-1.97052282520966	5.82188280568413e-50	ARL4C	ADP ribosylation factor like GTPase 4C
ENSG00000075213	-1.80589252738494	9.21571772623087e-50	SEMA3A	semaphorin 3A
