	log2FoldChange	padj	external_gene_name	Description
ENSG00000171747	5.85389763493183	0.0		
ENSG00000180730	6.59126087427558	1.31880980031885e-259	SHISA2	shisa family member 2
ENSG00000160182	3.28067940208083	1.3786672059650098e-251	TFF1	trefoil factor 1
ENSG00000047457	4.54872680971343	5.154220868338329e-218	CP	ceruloplasmin
ENSG00000115414	-4.13131378450547	6.66067102061572e-200	FN1	fibronectin 1
ENSG00000162344	-6.4783421125396	7.2628022666906e-192	FGF19	fibroblast growth factor 19
ENSG00000134193	11.053947189611	6.115007127056839e-185	REG4	regenerating family member 4
ENSG00000189334	3.43859957301677	7.51173093364815e-176	S100A14	S100 calcium binding protein A14
ENSG00000124102	2.76701585584562	1.03148745628031e-160	PI3	peptidase inhibitor 3
ENSG00000165757	-3.76287224793894	4.58760030694541e-160	JCAD	junctional cadherin 5 associated
ENSG00000188042	-2.94050832835671	6.0997128388392705e-152	ARL4C	ADP ribosylation factor like GTPase 4C
ENSG00000214814	6.68991959857072	9.86733839409945e-140	FER1L6	fer-1 like family member 6
ENSG00000131771	2.85413928297966	6.24648315936136e-139	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
ENSG00000140297	1.968786842776	3.70386187481509e-137	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
ENSG00000132911	-3.37246144750071	7.451527873447181e-132	NMUR2	neuromedin U receptor 2
ENSG00000151651	-2.44990703586537	3.92494280155374e-127	ADAM8	ADAM metallopeptidase domain 8
ENSG00000122861	-2.85882914654982	5.42507456057957e-121	PLAU	plasminogen activator, urokinase
ENSG00000198848	5.72360566863559	1.74028228146848e-119		
ENSG00000124882	-2.39771121898512	2.3857440959003803e-117	EREG	epiregulin
ENSG00000146674	-2.11899542666904	7.16789362477693e-115	IGFBP3	insulin like growth factor binding protein 3
ENSG00000261115	-6.31997118099707	6.63796016233376e-112	TMEM178B	transmembrane protein 178B
ENSG00000134955	-3.48900173060408	5.38428580384913e-109	SLC37A2	solute carrier family 37 member 2
ENSG00000086696	1.52419021954016	1.4471204118713401e-106	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2
ENSG00000114854	2.32302807648338	2.00567627147723e-106	TNNC1	troponin C1, slow skeletal and cardiac type
ENSG00000137033	11.5682982539506	1.0396878601344999e-104	IL33	interleukin 33
ENSG00000173598	1.85919952367421	7.26657330689239e-102	NUDT4	nudix hydrolase 4
ENSG00000138623	-3.3142848241305	1.07210818634681e-99		
ENSG00000115738	2.28305658254324	1.6805678644746899e-99	ID2	inhibitor of DNA binding 2
ENSG00000197353	4.76306013196323	5.1297336769557104e-98	LYPD2	LY6/PLAUR domain containing 2
ENSG00000176153	1.3561350623238	8.48651027633833e-95	GPX2	glutathione peroxidase 2
ENSG00000165272	3.16582714198386	2.95337050160908e-94	AQP3	aquaporin 3 (Gill blood group)
ENSG00000092929	-2.34903939644126	1.88094913660077e-92	UNC13D	unc-13 homolog D
ENSG00000134954	-2.26510249708871	2.78324490214369e-90	ETS1	ETS proto-oncogene 1, transcription factor
ENSG00000089356	1.85375117959989	5.17535987352939e-88	FXYD3	FXYD domain containing ion transport regulator 3
ENSG00000197632	-4.45723973093741	1.05858569842223e-86	SERPINB2	serpin family B member 2
ENSG00000101443	-2.68432683476625	1.33332686883253e-86	WFDC2	WAP four-disulfide core domain 2
ENSG00000118257	-1.73703639239544	1.5874490157346099e-83	NRP2	neuropilin 2
ENSG00000170558	-3.96210510015591	3.5072436541262e-83	CDH2	cadherin 2
ENSG00000289548	4.477354692236	2.4869296531002698e-82		
ENSG00000157613	2.81569150058591	3.36207464033419e-81	CREB3L1	cAMP responsive element binding protein 3 like 1
ENSG00000173210	-2.34063164956557	1.1419699270405e-80	ABLIM3	actin binding LIM protein family member 3
ENSG00000176014	-2.10187346282926	1.15952107689287e-79	TUBB6	tubulin beta 6 class V
ENSG00000105976	-1.40219222995125	1.5332511181936e-79	MET	MET proto-oncogene, receptor tyrosine kinase
ENSG00000163993	2.15777167578528	2.4743290453050998e-79	S100P	S100 calcium binding protein P
