ENSEMBL	Symbol	Description	Biotype
ENSG00000141744	PNMT	phenylethanolamine N-methyltransferase	protein_coding
ENSG00000168243	GNG4	G protein subunit gamma 4	protein_coding
ENSG00000146540	C7orf50	chromosome 7 open reading frame 50	protein_coding
ENSG00000153162	BMP6	bone morphogenetic protein 6	protein_coding
ENSG00000278318	ZNF229	zinc finger protein 229	protein_coding
ENSG00000153339	TRAPPC8	trafficking protein particle complex subunit 8	protein_coding
ENSG00000104059	ENTREP2	endosomal transmembrane epsin interactor 2	protein_coding
ENSG00000250565	ATP6V1E2	ATPase H+ transporting V1 subunit E2	protein_coding
ENSG00000289588		novel transcript	lncRNA
ENSG00000058091	CDK14	cyclin dependent kinase 14	protein_coding
ENSG00000184489	PTP4A3	protein tyrosine phosphatase 4A3	protein_coding
ENSG00000136152	COG3	component of oligomeric golgi complex 3	protein_coding
ENSG00000255639		novel protein	protein_coding
ENSG00000173597	SULT1B1	sulfotransferase family 1B member 1	protein_coding
ENSG00000137404	NRM	nurim	protein_coding
ENSG00000182771	GRID1	glutamate ionotropic receptor delta type subunit 1	protein_coding
ENSG00000274002		novel transcript	lncRNA
ENSG00000163110	PDLIM5	PDZ and LIM domain 5	protein_coding
ENSG00000138119	MYOF	myoferlin	protein_coding
ENSG00000215483	LINC00598	long intergenic non-protein coding RNA 598	lncRNA
ENSG00000151773	CCDC122	coiled-coil domain containing 122	protein_coding
ENSG00000084731	KIF3C	kinesin family member 3C	protein_coding
ENSG00000233461		novel transcript	lncRNA
ENSG00000140961	OSGIN1	oxidative stress induced growth inhibitor 1	protein_coding
ENSG00000142149	HUNK	hormonally up-regulated Neu-associated kinase	protein_coding
ENSG00000005379	TSPOAP1	TSPO associated protein 1	protein_coding
ENSG00000148677	ANKRD1	ankyrin repeat domain 1	protein_coding
ENSG00000121743	GJA3	gap junction protein alpha 3	protein_coding
ENSG00000267750	RUNDC3A-AS1	RUNDC3A antisense RNA 1	lncRNA
ENSG00000225383	SFTA1P	surfactant associated 1, lncRNA	lncRNA
ENSG00000223572	CKMT1A	creatine kinase, mitochondrial 1A	protein_coding
ENSG00000181104	F2R	coagulation factor II thrombin receptor	protein_coding
ENSG00000196511	TPK1	thiamin pyrophosphokinase 1	protein_coding
ENSG00000182022	CHST15	carbohydrate sulfotransferase 15	protein_coding
ENSG00000141293	SKAP1	src kinase associated phosphoprotein 1	protein_coding
ENSG00000235899	LINC01564	long intergenic non-protein coding RNA 1564	lncRNA
ENSG00000164038	SLC9B2	solute carrier family 9 member B2	protein_coding
ENSG00000162482	AKR7A3	aldo-keto reductase family 7 member A3	protein_coding
ENSG00000206195	DUXAP8	double homeobox A pseudogene 8	lncRNA
ENSG00000123838	C4BPA	complement component 4 binding protein alpha	protein_coding
ENSG00000171435	KSR2	kinase suppressor of ras 2	protein_coding
ENSG00000073150	PANX2	pannexin 2	protein_coding
ENSG00000170500	LONRF2	LON peptidase N-terminal domain and ring finger 2	protein_coding
ENSG00000152217	SETBP1	SET binding protein 1	protein_coding
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein_coding
ENSG00000248846	LINC02065	long intergenic non-protein coding RNA 2065	lncRNA
ENSG00000125257	ABCC4	ATP binding cassette subfamily C member 4	protein_coding
ENSG00000233198	RNF224	ring finger protein 224	protein_coding
ENSG00000180720	CHRM4	cholinergic receptor muscarinic 4	protein_coding
ENSG00000106278	PTPRZ1	protein tyrosine phosphatase receptor type Z1	protein_coding
