ENSEMBL	Symbol	Description	Biotype
ENSG00000043591	ADRB1	adrenoceptor beta 1	protein_coding
ENSG00000169752	NRG4	neuregulin 4	protein_coding
ENSG00000274253		novel transcript, sense overlapping NIPA1	lncRNA
ENSG00000187134	AKR1C1	aldo-keto reductase family 1 member C1	protein_coding
ENSG00000150722	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C	protein_coding
ENSG00000151632	AKR1C2	aldo-keto reductase family 1 member C2	protein_coding
ENSG00000003096	KLHL13	kelch like family member 13	protein_coding
ENSG00000120675	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	protein_coding
ENSG00000110651	CD81	CD81 molecule	protein_coding
ENSG00000101842	VSIG1	V-set and immunoglobulin domain containing 1	protein_coding
ENSG00000146399	TAAR1	trace amine associated receptor 1	protein_coding
ENSG00000106211	HSPB1	heat shock protein family B (small) member 1	protein_coding
ENSG00000227258	SMIM2-AS1	SMIM2 antisense RNA 1	lncRNA
ENSG00000286134		novel transcript	lncRNA
ENSG00000187017	ESPN	espin	protein_coding
ENSG00000121552	CSTA	cystatin A	protein_coding
ENSG00000197548	ATG7	autophagy related 7	protein_coding
ENSG00000128422	KRT17	keratin 17	protein_coding
ENSG00000104537	ANXA13	annexin A13	protein_coding
ENSG00000254101	LINC02055	long intergenic non-protein coding RNA 2055	lncRNA
ENSG00000140279	DUOX2	dual oxidase 2	protein_coding
ENSG00000102837	OLFM4	olfactomedin 4	protein_coding
ENSG00000104951	IL4I1	interleukin 4 induced 1	protein_coding
ENSG00000171840	NINJ2	ninjurin 2	protein_coding
ENSG00000261115	TMEM178B	transmembrane protein 178B	protein_coding
ENSG00000150281	CTF1	cardiotrophin 1	protein_coding
ENSG00000125430	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1	protein_coding
ENSG00000186832	KRT16	keratin 16	protein_coding
ENSG00000177096	PHETA2	PH domain containing endocytic trafficking adaptor 2	protein_coding
ENSG00000291105		novel transcript	lncRNA
ENSG00000152784	PRDM8	PR/SET domain 8	protein_coding
ENSG00000101825	MXRA5	matrix remodeling associated 5	protein_coding
ENSG00000122786	CALD1	caldesmon 1	protein_coding
ENSG00000054983	GALC	galactosylceramidase	protein_coding
ENSG00000172985	SH3RF3	SH3 domain containing ring finger 3	protein_coding
ENSG00000135472	FAIM2	Fas apoptotic inhibitory molecule 2	protein_coding
ENSG00000144452	ABCA12	ATP binding cassette subfamily A member 12	protein_coding
ENSG00000263961	RHEX	regulator of hemoglobinization and erythroid cell expansion	protein_coding
ENSG00000100979	PLTP	phospholipid transfer protein	protein_coding
ENSG00000066629	EML1	EMAP like 1	protein_coding
ENSG00000103888	CEMIP	cell migration inducing hyaluronidase 1	protein_coding
ENSG00000102804	TSC22D1	TSC22 domain family member 1	protein_coding
ENSG00000158560	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	protein_coding
ENSG00000173227	SYT12	synaptotagmin 12	protein_coding
ENSG00000138207	RBP4	retinol binding protein 4	protein_coding
ENSG00000285933		novel transcript	lncRNA
ENSG00000186684	CYP27C1	cytochrome P450 family 27 subfamily C member 1	protein_coding
ENSG00000163297	ANTXR2	ANTXR cell adhesion molecule 2	protein_coding
ENSG00000259129	LINC00648	long intergenic non-protein coding RNA 648	lncRNA
ENSG00000213988	ZNF90	zinc finger protein 90	protein_coding
ENSG00000100154	TTC28	tetratricopeptide repeat domain 28	protein_coding
ENSG00000145536	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	protein_coding
ENSG00000214376	VSTM5	V-set and transmembrane domain containing 5	protein_coding
ENSG00000115738	ID2	inhibitor of DNA binding 2	protein_coding
ENSG00000179083	FAM133A	family with sequence similarity 133 member A	protein_coding
ENSG00000248144	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	protein_coding
ENSG00000019582	CD74	CD74 molecule	protein_coding
ENSG00000151388	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	protein_coding
ENSG00000046774	MAGEC2	MAGE family member C2	protein_coding
ENSG00000261371	PECAM1	platelet and endothelial cell adhesion molecule 1	protein_coding
ENSG00000260542		novel transcript	lncRNA
ENSG00000179542	SLITRK4	SLIT and NTRK like family member 4	protein_coding
ENSG00000228742	LINC02577	long intergenic non-protein coding RNA 2577	lncRNA
ENSG00000214491	SEC14L6	SEC14 like lipid binding 6	protein_coding
ENSG00000228393	LINC01004	long intergenic non-protein coding RNA 1004	lncRNA
ENSG00000100234	TIMP3	TIMP metallopeptidase inhibitor 3	protein_coding
ENSG00000115828	QPCT	glutaminyl-peptide cyclotransferase	protein_coding
ENSG00000102243	VGLL1	vestigial like family member 1	protein_coding
ENSG00000168000	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	protein_coding
ENSG00000271503	CCL5	C-C motif chemokine ligand 5	protein_coding
ENSG00000170558	CDH2	cadherin 2	protein_coding
ENSG00000115602	IL1RL1	interleukin 1 receptor like 1	protein_coding
ENSG00000137033	IL33	interleukin 33	protein_coding
ENSG00000101443	WFDC2	WAP four-disulfide core domain 2	protein_coding
ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	protein_coding
ENSG00000135454	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	protein_coding
ENSG00000002933	TMEM176A	transmembrane protein 176A	protein_coding
ENSG00000144460	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein_coding
ENSG00000212747	RTL8B	retrotransposon Gag like 8B	protein_coding
ENSG00000185737	NRG3	neuregulin 3	protein_coding
ENSG00000143590	EFNA3	ephrin A3	protein_coding
ENSG00000111863	ADTRP	androgen dependent TFPI regulating protein	protein_coding
ENSG00000144649	GASK1A	golgi associated kinase 1A	protein_coding
ENSG00000135363	LMO2	LIM domain only 2	protein_coding
ENSG00000167741	GGT6	gamma-glutamyltransferase 6	protein_coding
ENSG00000156298	TSPAN7	tetraspanin 7	protein_coding
ENSG00000145908	ZNF300	zinc finger protein 300	protein_coding
ENSG00000285043		novel protein	protein_coding
ENSG00000074370	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	protein_coding
ENSG00000102962	CCL22	C-C motif chemokine ligand 22	protein_coding
ENSG00000170681	CAVIN4	caveolae associated protein 4	protein_coding
ENSG00000259976		novel transcript	lncRNA
ENSG00000164659	ELAPOR2	endosome-lysosome associated apoptosis and autophagy regulator family member 2	protein_coding
ENSG00000259863	SH3RF3-AS1	SH3RF3 antisense RNA 1	lncRNA
ENSG00000175567	UCP2	uncoupling protein 2	protein_coding
ENSG00000106565	TMEM176B	transmembrane protein 176B	protein_coding
ENSG00000042980	ADAM28	ADAM metallopeptidase domain 28	protein_coding
ENSG00000214595	EML6	EMAP like 6	protein_coding
ENSG00000135929	CYP27A1	cytochrome P450 family 27 subfamily A member 1	protein_coding
ENSG00000162543	UBXN10	UBX domain protein 10	protein_coding
ENSG00000186469	GNG2	G protein subunit gamma 2	protein_coding
ENSG00000000971	CFH	complement factor H	protein_coding
ENSG00000176153	GPX2	glutathione peroxidase 2	protein_coding
ENSG00000036828	CASR	calcium sensing receptor	protein_coding
ENSG00000162344	FGF19	fibroblast growth factor 19	protein_coding
ENSG00000154856	APCDD1	APC down-regulated 1	protein_coding
ENSG00000169213	RAB3B	RAB3B, member RAS oncogene family	protein_coding
ENSG00000006747	SCIN	scinderin	protein_coding
ENSG00000132911	NMUR2	neuromedin U receptor 2	protein_coding
ENSG00000180251	SLC9A4	solute carrier family 9 member A4	protein_coding
ENSG00000122711	SPINK4	serine peptidase inhibitor Kazal type 4	protein_coding
ENSG00000102678	FGF9	fibroblast growth factor 9	protein_coding
ENSG00000177932	ZNF354C	zinc finger protein 354C	protein_coding
ENSG00000204397	CARD16	caspase recruitment domain family member 16	protein_coding
ENSG00000136425	CIB2	calcium and integrin binding family member 2	protein_coding
ENSG00000214814	FER1L6	fer-1 like family member 6	protein_coding
ENSG00000166922	SCG5	secretogranin V	protein_coding
ENSG00000182986	ZNF320	zinc finger protein 320	protein_coding
ENSG00000197406	DIO3	iodothyronine deiodinase 3	protein_coding
ENSG00000131831	RAI2	retinoic acid induced 2	protein_coding
