ENSEMBL	Symbol	Description	Biotype
ENSG00000197016	ZNF470	zinc finger protein 470	protein_coding
ENSG00000188064	WNT7B	Wnt family member 7B	protein_coding
ENSG00000169752	NRG4	neuregulin 4	protein_coding
ENSG00000150722	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C	protein_coding
ENSG00000146399	TAAR1	trace amine associated receptor 1	protein_coding
ENSG00000126016	AMOT	angiomotin	protein_coding
ENSG00000124097	HMGB1P1	high mobility group box 1 pseudogene 1	protein_coding
ENSG00000258555	SPECC1L-ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)	protein_coding
ENSG00000104537	ANXA13	annexin A13	protein_coding
ENSG00000254101	LINC02055	long intergenic non-protein coding RNA 2055	lncRNA
ENSG00000082397	EPB41L3	erythrocyte membrane protein band 4.1 like 3	protein_coding
ENSG00000196353	CPNE4	copine 4	protein_coding
ENSG00000151623	NR3C2	nuclear receptor subfamily 3 group C member 2	protein_coding
ENSG00000261305		novel transcript, overlapping LRRC61	lncRNA
ENSG00000099994	SUSD2	sushi domain containing 2	protein_coding
ENSG00000163040	CCDC74A	coiled-coil domain containing 74A	protein_coding
ENSG00000104951	IL4I1	interleukin 4 induced 1	protein_coding
ENSG00000253910	PCDHGB2	protocadherin gamma subfamily B, 2	protein_coding
ENSG00000150281	CTF1	cardiotrophin 1	protein_coding
ENSG00000136205	TNS3	tensin 3	protein_coding
ENSG00000158373	H2BC5	H2B clustered histone 5	protein_coding
ENSG00000171408	PDE7B	phosphodiesterase 7B	protein_coding
ENSG00000287593		novel transcript, antisense to ADTRP	lncRNA
ENSG00000112699	GMDS	GDP-mannose 4,6-dehydratase	protein_coding
ENSG00000135253	KCP	kielin cysteine rich BMP regulator	protein_coding
ENSG00000169896	ITGAM	integrin subunit alpha M	protein_coding
ENSG00000100979	PLTP	phospholipid transfer protein	protein_coding
ENSG00000066629	EML1	EMAP like 1	protein_coding
ENSG00000205488	CALML3-AS1	CALML3 antisense RNA 1	lncRNA
ENSG00000215915	ATAD3C	ATPase family AAA domain containing 3C	protein_coding
ENSG00000163637	PRICKLE2	prickle planar cell polarity protein 2	protein_coding
ENSG00000173227	SYT12	synaptotagmin 12	protein_coding
ENSG00000137868	STRA6	signaling receptor and transporter of retinol STRA6	protein_coding
ENSG00000135312	HTR1B	5-hydroxytryptamine receptor 1B	protein_coding
ENSG00000182327	GLTPD2	glycolipid transfer protein domain containing 2	protein_coding
ENSG00000259129	LINC00648	long intergenic non-protein coding RNA 648	lncRNA
ENSG00000196427	NBPF4	NBPF member 4	protein_coding
ENSG00000250644		novel protein	protein_coding
ENSG00000105388	CEACAM5	CEA cell adhesion molecule 5	protein_coding
ENSG00000256229	ZNF486	zinc finger protein 486	protein_coding
ENSG00000260542		novel transcript	lncRNA
ENSG00000228393	LINC01004	long intergenic non-protein coding RNA 1004	lncRNA
ENSG00000115828	QPCT	glutaminyl-peptide cyclotransferase	protein_coding
ENSG00000102243	VGLL1	vestigial like family member 1	protein_coding
ENSG00000257135	ODC1-DT	ODC1 divergent transcript	lncRNA
ENSG00000168661	ZNF30	zinc finger protein 30	protein_coding
ENSG00000109511	ANXA10	annexin A10	protein_coding
ENSG00000234284	ZNF879	zinc finger protein 879	protein_coding
ENSG00000071073	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	protein_coding
ENSG00000285722		novel transcript	lncRNA
ENSG00000146555	SDK1	sidekick cell adhesion molecule 1	protein_coding
ENSG00000105835	NAMPT	nicotinamide phosphoribosyltransferase	protein_coding
ENSG00000088756	ARHGAP28	Rho GTPase activating protein 28	protein_coding
ENSG00000178950	GAK	cyclin G associated kinase	protein_coding
ENSG00000143590	EFNA3	ephrin A3	protein_coding
ENSG00000082482	KCNK2	potassium two pore domain channel subfamily K member 2	protein_coding
ENSG00000163393	SLC22A15	solute carrier family 22 member 15	protein_coding
ENSG00000267296	CEBPA-DT	CEBPA divergent transcript	lncRNA
ENSG00000285744	MITA1	metabolism induced tumor activator 1	lncRNA
ENSG00000145908	ZNF300	zinc finger protein 300	protein_coding
ENSG00000285043		novel protein	protein_coding
ENSG00000074370	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	protein_coding
ENSG00000178199	ZC3H12D	zinc finger CCCH-type containing 12D	protein_coding
ENSG00000259976		novel transcript	lncRNA
ENSG00000250312	ZNF718	zinc finger protein 718	protein_coding
ENSG00000159082	SYNJ1	synaptojanin 1	protein_coding
ENSG00000240771	ARHGEF25	Rho guanine nucleotide exchange factor 25	protein_coding
ENSG00000186469	GNG2	G protein subunit gamma 2	protein_coding
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1	protein_coding
ENSG00000075223	SEMA3C	semaphorin 3C	protein_coding
ENSG00000100889	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	protein_coding
ENSG00000000971	CFH	complement factor H	protein_coding
ENSG00000176153	GPX2	glutathione peroxidase 2	protein_coding
ENSG00000268912		novel transcript	lncRNA
ENSG00000282851	BISPR	BST2 interferon stimulated positive regulator	lncRNA
ENSG00000165029	ABCA1	ATP binding cassette subfamily A member 1	protein_coding
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	protein_coding
ENSG00000177932	ZNF354C	zinc finger protein 354C	protein_coding
ENSG00000233237	LINC00472	long intergenic non-protein coding RNA 472	lncRNA
ENSG00000166922	SCG5	secretogranin V	protein_coding
ENSG00000182986	ZNF320	zinc finger protein 320	protein_coding
ENSG00000124875	CXCL6	C-X-C motif chemokine ligand 6	protein_coding
ENSG00000197406	DIO3	iodothyronine deiodinase 3	protein_coding
ENSG00000065534	MYLK	myosin light chain kinase	protein_coding
ENSG00000091136	LAMB1	laminin subunit beta 1	protein_coding
ENSG00000145287	PLAC8	placenta associated 8	protein_coding
ENSG00000205922	ONECUT3	one cut homeobox 3	protein_coding
ENSG00000233611	GBX2-AS1	GBX2 and ASB18 antisense RNA 1	lncRNA
ENSG00000137642	SORL1	sortilin related receptor 1	protein_coding
ENSG00000178934	LGALS7B	galectin 7B	protein_coding
ENSG00000126603	GLIS2	GLIS family zinc finger 2	protein_coding
ENSG00000117477	CCDC181	coiled-coil domain containing 181	protein_coding
ENSG00000159692	CTBP1	C-terminal binding protein 1	protein_coding
ENSG00000170961	HAS2	hyaluronan synthase 2	protein_coding
ENSG00000166444	DENND2B	DENN domain containing 2B	protein_coding
ENSG00000104783	KCNN4	potassium calcium-activated channel subfamily N member 4	protein_coding
ENSG00000139144	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	protein_coding
ENSG00000132329	RAMP1	receptor activity modifying protein 1	protein_coding
ENSG00000120784	ZFP30	ZFP30 zinc finger protein	protein_coding
ENSG00000133805	AMPD3	adenosine monophosphate deaminase 3	protein_coding
ENSG00000169026	SLC49A3	solute carrier family 49 member 3	protein_coding
ENSG00000109472	CPE	carboxypeptidase E	protein_coding
ENSG00000120324	PCDHB10	protocadherin beta 10	protein_coding
ENSG00000180479	ZNF571	zinc finger protein 571	protein_coding
ENSG00000078725	BRINP1	BMP/retinoic acid inducible neural specific 1	protein_coding
ENSG00000043039	BARX2	BARX homeobox 2	protein_coding
ENSG00000170074	FAM153A	family with sequence similarity 153 member A	protein_coding
ENSG00000249853	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5	protein_coding
ENSG00000169031	COL4A3	collagen type IV alpha 3 chain	protein_coding
ENSG00000127324	TSPAN8	tetraspanin 8	protein_coding
ENSG00000153563	CD8A	CD8 subunit alpha	protein_coding
ENSG00000133321	PLAAT4	phospholipase A and acyltransferase 4	protein_coding
ENSG00000135362	PRR5L	proline rich 5 like	protein_coding
ENSG00000169871	TRIM56	tripartite motif containing 56	protein_coding
ENSG00000175928	LRRN1	leucine rich repeat neuronal 1	protein_coding
ENSG00000168000	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	protein_coding
ENSG00000144445	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	protein_coding
ENSG00000154655	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4	protein_coding
ENSG00000066427	ATXN3	ataxin 3	protein_coding
ENSG00000187134	AKR1C1	aldo-keto reductase family 1 member C1	protein_coding
ENSG00000233695	GAS6-AS1	GAS6 antisense RNA 1	lncRNA
ENSG00000151632	AKR1C2	aldo-keto reductase family 1 member C2	protein_coding
ENSG00000120675	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	protein_coding
ENSG00000127399	LRRC61	leucine rich repeat containing 61	protein_coding
ENSG00000101842	VSIG1	V-set and immunoglobulin domain containing 1	protein_coding
ENSG00000187017	ESPN	espin	protein_coding
ENSG00000134193	REG4	regenerating family member 4	protein_coding
ENSG00000128422	KRT17	keratin 17	protein_coding
ENSG00000089199	CHGB	chromogranin B	protein_coding
ENSG00000253731	PCDHGA6	protocadherin gamma subfamily A, 6	protein_coding
ENSG00000182912	TSPEAR-AS2	TSPEAR antisense RNA 2	lncRNA
ENSG00000125285	SOX21	SRY-box transcription factor 21	protein_coding
ENSG00000140279	DUOX2	dual oxidase 2	protein_coding
ENSG00000112852	PCDHB2	protocadherin beta 2	protein_coding
ENSG00000187372	PCDHB13	protocadherin beta 13	protein_coding
ENSG00000171840	NINJ2	ninjurin 2	protein_coding
ENSG00000148143	ZNF462	zinc finger protein 462	protein_coding
ENSG00000159208	CIART	circadian associated repressor of transcription	protein_coding
ENSG00000172985	SH3RF3	SH3 domain containing ring finger 3	protein_coding
ENSG00000182557	SPNS3	SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)	protein_coding
ENSG00000144452	ABCA12	ATP binding cassette subfamily A member 12	protein_coding
ENSG00000263961	RHEX	regulator of hemoglobinization and erythroid cell expansion	protein_coding
ENSG00000232023	LINC01807	long intergenic non-protein coding RNA 1807	lncRNA
ENSG00000172456	FGGY	FGGY carbohydrate kinase domain containing	protein_coding
ENSG00000196782	MAML3	mastermind like transcriptional coactivator 3	protein_coding
ENSG00000086730	LAT2	linker for activation of T cells family member 2	protein_coding
ENSG00000158560	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	protein_coding
ENSG00000179869	ABCA13	ATP binding cassette subfamily A member 13	protein_coding
ENSG00000138207	RBP4	retinol binding protein 4	protein_coding
ENSG00000180596	H2BC4	H2B clustered histone 4	protein_coding
ENSG00000186684	CYP27C1	cytochrome P450 family 27 subfamily C member 1	protein_coding
ENSG00000213988	ZNF90	zinc finger protein 90	protein_coding
ENSG00000100154	TTC28	tetratricopeptide repeat domain 28	protein_coding
ENSG00000238266	LINC00707	long intergenic non-protein coding RNA 707	lncRNA
ENSG00000046774	MAGEC2	MAGE family member C2	protein_coding
ENSG00000108797	CNTNAP1	contactin associated protein 1	protein_coding
ENSG00000152137	HSPB8	heat shock protein family B (small) member 8	protein_coding
ENSG00000100234	TIMP3	TIMP metallopeptidase inhibitor 3	protein_coding
ENSG00000259343	TMC3-AS1	TMC3 antisense RNA 1	lncRNA
ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	protein_coding
ENSG00000105855	ITGB8	integrin subunit beta 8	protein_coding
ENSG00000144460	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein_coding
ENSG00000280693	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1	lncRNA
ENSG00000184292	TACSTD2	tumor associated calcium signal transducer 2	protein_coding
ENSG00000246876	LINC02466	long intergenic non-protein coding RNA 2466	lncRNA
ENSG00000111863	ADTRP	androgen dependent TFPI regulating protein	protein_coding
ENSG00000135363	LMO2	LIM domain only 2	protein_coding
ENSG00000251602	MTA1-DT	MTA1 divergent transcript	lncRNA
ENSG00000026025	VIM	vimentin	protein_coding
ENSG00000187486	KCNJ11	potassium inwardly rectifying channel subfamily J member 11	protein_coding
ENSG00000213402	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	protein_coding
ENSG00000168268	NT5DC2	5'-nucleotidase domain containing 2	protein_coding
ENSG00000042980	ADAM28	ADAM metallopeptidase domain 28	protein_coding
ENSG00000214595	EML6	EMAP like 6	protein_coding
ENSG00000089723	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2	protein_coding
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	protein_coding
ENSG00000162344	FGF19	fibroblast growth factor 19	protein_coding
ENSG00000154856	APCDD1	APC down-regulated 1	protein_coding
ENSG00000100433	KCNK10	potassium two pore domain channel subfamily K member 10	protein_coding
ENSG00000160182	TFF1	trefoil factor 1	protein_coding
ENSG00000088970	KIZ	kizuna centrosomal protein	protein_coding
ENSG00000141574	SECTM1	secreted and transmembrane 1	protein_coding
ENSG00000290951		novel transcript	lncRNA
ENSG00000253161	LINC01605	long intergenic non-protein coding RNA 1605	lncRNA
ENSG00000249550	LINC01234	long intergenic non-protein coding RNA 1234	lncRNA
ENSG00000214814	FER1L6	fer-1 like family member 6	protein_coding
ENSG00000185483	ROR1	receptor tyrosine kinase like orphan receptor 1	protein_coding
ENSG00000253522	MIR3142HG	MIR3142 host gene	lncRNA
ENSG00000101846	STS	steroid sulfatase	protein_coding
ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein_coding
ENSG00000186074	CD300LF	CD300 molecule like family member f	protein_coding
ENSG00000128596	CCDC136	coiled-coil domain containing 136	protein_coding
ENSG00000182985	CADM1	cell adhesion molecule 1	protein_coding
ENSG00000187498	COL4A1	collagen type IV alpha 1 chain	protein_coding
ENSG00000130475	FCHO1	FCH and mu domain containing endocytic adaptor 1	protein_coding
ENSG00000136378	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	protein_coding
ENSG00000137880	GCHFR	GTP cyclohydrolase I feedback regulator	protein_coding
ENSG00000259207	ITGB3	integrin subunit beta 3	protein_coding
ENSG00000281392	LINC00506	long intergenic non-protein coding RNA 506	lncRNA
ENSG00000257252		novel transcript, antisense to NUDT4	lncRNA
ENSG00000108405	P2RX1	purinergic receptor P2X 1	protein_coding
ENSG00000100994	PYGB	glycogen phosphorylase B	protein_coding
ENSG00000114378	HYAL1	hyaluronidase 1	protein_coding
ENSG00000172478	MAB21L4	mab-21 like 4	protein_coding
ENSG00000261713	SSTR5-AS1	SSTR5 antisense RNA 1	lncRNA
ENSG00000166432	ZMAT1	zinc finger matrin-type 1	protein_coding
ENSG00000154127	UBASH3B	ubiquitin associated and SH3 domain containing B	protein_coding
ENSG00000179674	ARL14	ADP ribosylation factor like GTPase 14	protein_coding
ENSG00000197951	ZNF71	zinc finger protein 71	protein_coding
ENSG00000160255	ITGB2	integrin subunit beta 2	protein_coding
ENSG00000124613	ZNF391	zinc finger protein 391	protein_coding
ENSG00000205809	KLRC2	killer cell lectin like receptor C2	protein_coding
ENSG00000198681	MAGEA1	MAGE family member A1	protein_coding
ENSG00000140297	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	protein_coding
ENSG00000155066	PROM2	prominin 2	protein_coding
ENSG00000169715	MT1E	metallothionein 1E	protein_coding
ENSG00000243649	CFB	complement factor B	protein_coding
ENSG00000163565	IFI16	interferon gamma inducible protein 16	protein_coding
ENSG00000151364	KCTD14	potassium channel tetramerization domain containing 14	protein_coding
ENSG00000151778	SERP2	stress associated endoplasmic reticulum protein family member 2	protein_coding
ENSG00000164414	SLC35A1	solute carrier family 35 member A1	protein_coding
ENSG00000223802	CERS1	ceramide synthase 1	protein_coding
ENSG00000106976	DNM1	dynamin 1	protein_coding
ENSG00000111817	DSE	dermatan sulfate epimerase	protein_coding
ENSG00000146021	KLHL3	kelch like family member 3	protein_coding
ENSG00000183688	RFLNB	refilin B	protein_coding
ENSG00000163521	GLB1L	galactosidase beta 1 like	protein_coding
ENSG00000080824	HSP90AA1	heat shock protein 90 alpha family class A member 1	protein_coding
ENSG00000109956	B3GAT1	beta-1,3-glucuronyltransferase 1	protein_coding
ENSG00000163501	IHH	Indian hedgehog signaling molecule	protein_coding
ENSG00000291096		novel transcript	lncRNA
ENSG00000181458	TMEM45A	transmembrane protein 45A	protein_coding
ENSG00000139292	LGR5	leucine rich repeat containing G protein-coupled receptor 5	protein_coding
ENSG00000197903	H2BC12	H2B clustered histone 12	protein_coding
ENSG00000163993	S100P	S100 calcium binding protein P	protein_coding
ENSG00000233215	LINC01687	long intergenic non-protein coding RNA 1687	lncRNA
ENSG00000109667	SLC2A9	solute carrier family 2 member 9	protein_coding
ENSG00000188428	BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5	protein_coding
ENSG00000228437	LINC02474	long intergenic non-protein coding RNA 2474	lncRNA
