ENSEMBL	Symbol	Description	Biotype
ENSG00000259248	USP3-AS1	USP3 antisense RNA 1	lncRNA
ENSG00000167183	PRR15L	proline rich 15 like	protein_coding
ENSG00000272288	ILRUN-AS1	ILRUN antisense RNA 1	lncRNA
ENSG00000283646	LINC02009	long intergenic non-protein coding RNA 2009	lncRNA
ENSG00000160870	CYP3A7	cytochrome P450 family 3 subfamily A member 7	protein_coding
ENSG00000165516	KLHDC2	kelch domain containing 2	protein_coding
ENSG00000228140	EFHD2-AS1	EFHD2 antisense RNA 1	lncRNA
ENSG00000281706	LINC01012	long intergenic non-protein coding RNA 1012	lncRNA
ENSG00000181444	ZNF467	zinc finger protein 467	protein_coding
ENSG00000139269	INHBE	inhibin subunit beta E	protein_coding
ENSG00000086159	AQP6	aquaporin 6	protein_coding
ENSG00000188807	TMEM201	transmembrane protein 201	protein_coding
ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1	protein_coding
ENSG00000137707	BTG4	BTG anti-proliferation factor 4	protein_coding
ENSG00000260588		novel transcript	lncRNA
ENSG00000240086		novel transcript, antisense to EPHB1	lncRNA
ENSG00000212724	KRTAP2-3	keratin associated protein 2-3	protein_coding
ENSG00000163545	NUAK2	NUAK family kinase 2	protein_coding
ENSG00000168916	ZNF608	zinc finger protein 608	protein_coding
ENSG00000237424	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1	lncRNA
ENSG00000134668	SPOCD1	SPOC domain containing 1	protein_coding
ENSG00000166949	SMAD3	SMAD family member 3	protein_coding
ENSG00000262246	CORO7	coronin 7	protein_coding
ENSG00000148297	MED22	mediator complex subunit 22	protein_coding
ENSG00000065308	TRAM2	translocation associated membrane protein 2	protein_coding
ENSG00000254726	MEX3A	mex-3 RNA binding family member A	protein_coding
ENSG00000265778	ZNF516-AS1	ZNF516 antisense RNA 1	lncRNA
ENSG00000165507	DEPP1	DEPP autophagy regulator 1	protein_coding
ENSG00000111077	TNS2	tensin 2	protein_coding
