ENSEMBL	Symbol	Description	Biotype
ENSG00000167183	PRR15L	proline rich 15 like	protein_coding
ENSG00000160870	CYP3A7	cytochrome P450 family 3 subfamily A member 7	protein_coding
ENSG00000138646	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	protein_coding
ENSG00000139269	INHBE	inhibin subunit beta E	protein_coding
ENSG00000086159	AQP6	aquaporin 6	protein_coding
ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1	protein_coding
ENSG00000137707	BTG4	BTG anti-proliferation factor 4	protein_coding
ENSG00000240086		novel transcript, antisense to EPHB1	lncRNA
ENSG00000212724	KRTAP2-3	keratin associated protein 2-3	protein_coding
ENSG00000168916	ZNF608	zinc finger protein 608	protein_coding
ENSG00000134668	SPOCD1	SPOC domain containing 1	protein_coding
ENSG00000166949	SMAD3	SMAD family member 3	protein_coding
ENSG00000140931	CMTM3	CKLF like MARVEL transmembrane domain containing 3	protein_coding
ENSG00000170345	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	protein_coding
ENSG00000144583	MARCHF4	membrane associated ring-CH-type finger 4	protein_coding
ENSG00000174130	TLR6	toll like receptor 6	protein_coding
ENSG00000286722		novel transcript, antisense to AHCYL2	lncRNA
ENSG00000169562	GJB1	gap junction protein beta 1	protein_coding
ENSG00000136930	PSMB7	proteasome 20S subunit beta 7	protein_coding
ENSG00000182963	GJC1	gap junction protein gamma 1	protein_coding
ENSG00000277632	CCL3	C-C motif chemokine ligand 3	protein_coding
ENSG00000164400	CSF2	colony stimulating factor 2	protein_coding
ENSG00000205755	CRLF2	cytokine receptor like factor 2	protein_coding
ENSG00000116254	CHD5	chromodomain helicase DNA binding protein 5	protein_coding
ENSG00000136114	THSD1	thrombospondin type 1 domain containing 1	protein_coding
ENSG00000150347	ARID5B	AT-rich interaction domain 5B	protein_coding
ENSG00000103647	CORO2B	coronin 2B	protein_coding
ENSG00000243896	OR2A7	olfactory receptor family 2 subfamily A member 7	protein_coding
ENSG00000168350	DEGS2	delta 4-desaturase, sphingolipid 2	protein_coding
ENSG00000119917	IFIT3	interferon induced protein with tetratricopeptide repeats 3	protein_coding
ENSG00000105971	CAV2	caveolin 2	protein_coding
ENSG00000164509	IL31RA	interleukin 31 receptor A	protein_coding
ENSG00000160180	TFF3	trefoil factor 3	protein_coding
ENSG00000189056	RELN	reelin	protein_coding
ENSG00000259115		novel transcript	lncRNA
ENSG00000224165	DNAJC27-AS1	DNAJC27 antisense RNA 1	lncRNA
ENSG00000231298	MANCR	mitotically associated long non coding RNA	lncRNA
ENSG00000167767	KRT80	keratin 80	protein_coding
ENSG00000248592	STIMATE-MUSTN1	STIMATE-MUSTN1 readthrough	protein_coding
ENSG00000278266		novel transcript	lncRNA
ENSG00000101342	TLDC2	TBC/LysM-associated domain containing 2	protein_coding
ENSG00000273760		novel transcript	lncRNA
ENSG00000281991	TMEM265	transmembrane protein 265	protein_coding
ENSG00000105974	CAV1	caveolin 1	protein_coding
ENSG00000167601	AXL	AXL receptor tyrosine kinase	protein_coding
ENSG00000164379	FOXQ1	forkhead box Q1	protein_coding
ENSG00000290930	OR7E91P	olfactory receptor family 7 subfamily E member 91 pseudogene	lncRNA
ENSG00000168301	KCTD6	potassium channel tetramerization domain containing 6	protein_coding
ENSG00000137745	MMP13	matrix metallopeptidase 13	protein_coding
ENSG00000168685	IL7R	interleukin 7 receptor	protein_coding
ENSG00000175003	SLC22A1	solute carrier family 22 member 1	protein_coding
ENSG00000142552	RCN3	reticulocalbin 3	protein_coding
ENSG00000145703	IQGAP2	IQ motif containing GTPase activating protein 2	protein_coding
ENSG00000176014	TUBB6	tubulin beta 6 class V	protein_coding
ENSG00000197632	SERPINB2	serpin family B member 2	protein_coding
ENSG00000104691	UBXN8	UBX domain protein 8	protein_coding
ENSG00000198756	COLGALT2	collagen beta(1-O)galactosyltransferase 2	protein_coding
ENSG00000245293	CYP2U1-AS1	CYP2U1 and SGMS2 antisense RNA 1	lncRNA
ENSG00000120833	SOCS2	suppressor of cytokine signaling 2	protein_coding
ENSG00000019549	SNAI2	snail family transcriptional repressor 2	protein_coding
ENSG00000080573	COL5A3	collagen type V alpha 3 chain	protein_coding
ENSG00000166396	SERPINB7	serpin family B member 7	protein_coding
ENSG00000166394	CYB5R2	cytochrome b5 reductase 2	protein_coding
ENSG00000111885	MAN1A1	mannosidase alpha class 1A member 1	protein_coding
ENSG00000184956	MUC6	mucin 6, oligomeric mucus/gel-forming	protein_coding
ENSG00000100473	COCH	cochlin	protein_coding
ENSG00000115008	IL1A	interleukin 1 alpha	protein_coding
ENSG00000142623	PADI1	peptidyl arginine deiminase 1	protein_coding
ENSG00000206538	VGLL3	vestigial like family member 3	protein_coding
ENSG00000124116	WFDC3	WAP four-disulfide core domain 3	protein_coding
ENSG00000162654	GBP4	guanylate binding protein 4	protein_coding
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	protein_coding
ENSG00000215113	CXorf49B	chromosome X open reading frame 49B	protein_coding
ENSG00000231528	FAM225A	family with sequence similarity 225 member A	lncRNA
ENSG00000206337	HCP5	HLA complex P5	lncRNA
ENSG00000129295	DNAAF11	dynein axonemal assembly factor 11	protein_coding
ENSG00000232803	SLCO4A1-AS1	SLCO4A1 antisense RNA 1	lncRNA
ENSG00000100055	CYTH4	cytohesin 4	protein_coding
ENSG00000106123	EPHB6	EPH receptor B6	protein_coding
ENSG00000134874	DZIP1	DAZ interacting zinc finger protein 1	protein_coding
ENSG00000119547	ONECUT2	one cut homeobox 2	protein_coding
ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10	protein_coding
ENSG00000269313	MAGIX	MAGI family member, X-linked	protein_coding
ENSG00000108669	CYTH1	cytohesin 1	protein_coding
ENSG00000099250	NRP1	neuropilin 1	protein_coding
ENSG00000204516	MICB	MHC class I polypeptide-related sequence B	protein_coding
ENSG00000109321	AREG	amphiregulin	protein_coding
ENSG00000241794	SPRR2A	small proline rich protein 2A	protein_coding
ENSG00000100985	MMP9	matrix metallopeptidase 9	protein_coding
ENSG00000269825		novel zinc finger protein	protein_coding
ENSG00000155918	RAET1L	retinoic acid early transcript 1L	protein_coding
ENSG00000262188	LINC01978	long intergenic non-protein coding RNA 1978	lncRNA
ENSG00000234432	LINC02983	long intergenic non-protein coding RNA 2983	lncRNA
ENSG00000204128	C2orf72	chromosome 2 open reading frame 72	protein_coding
ENSG00000286587		novel transcript	lncRNA
ENSG00000125384	PTGER2	prostaglandin E receptor 2	protein_coding
ENSG00000124249	KCNK15	potassium two pore domain channel subfamily K member 15	protein_coding
ENSG00000166592	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	protein_coding
ENSG00000143353	LYPLAL1	lysophospholipase like 1	protein_coding
ENSG00000175066	GK5	glycerol kinase 5	protein_coding
ENSG00000267774		novel transcript, antisense to CCBE1	lncRNA
ENSG00000087494	PTHLH	parathyroid hormone like hormone	protein_coding
ENSG00000137968	SLC44A5	solute carrier family 44 member 5	protein_coding
ENSG00000114541	FRMD4B	FERM domain containing 4B	protein_coding
ENSG00000261175	LINC02188	long intergenic non-protein coding RNA 2188	lncRNA
ENSG00000166959	MS4A8	membrane spanning 4-domains A8	protein_coding
ENSG00000154133	ROBO4	roundabout guidance receptor 4	protein_coding
ENSG00000122861	PLAU	plasminogen activator, urokinase	protein_coding
ENSG00000056558	TRAF1	TNF receptor associated factor 1	protein_coding
