ENSEMBL	Symbol	Description	Biotype
ENSG00000224945		novel transcript	lncRNA
ENSG00000186919	ZACN	zinc activated ion channel	protein_coding
ENSG00000173706	HEG1	heart development protein with EGF like domains 1	protein_coding
ENSG00000243335	KCTD7	potassium channel tetramerization domain containing 7	protein_coding
ENSG00000172575	RASGRP1	RAS guanyl releasing protein 1	protein_coding
ENSG00000167779	IGFBP6	insulin like growth factor binding protein 6	protein_coding
ENSG00000137070	IL11RA	interleukin 11 receptor subunit alpha	protein_coding
ENSG00000163623	NKX6-1	NK6 homeobox 1	protein_coding
ENSG00000283208		novel protein	protein_coding
ENSG00000228223	HCG11	HLA complex group 11	lncRNA
ENSG00000179532	DNHD1	dynein heavy chain domain 1	protein_coding
ENSG00000075336	TIMM21	translocase of inner mitochondrial membrane 21	protein_coding
ENSG00000196159	FAT4	FAT atypical cadherin 4	protein_coding
ENSG00000163737	PF4	platelet factor 4	protein_coding
ENSG00000269352	PTOV1-AS2	PTOV1 antisense RNA 2	lncRNA
ENSG00000233901	LINC01503	long intergenic non-protein coding RNA 1503	lncRNA
ENSG00000267149		novel transcript	lncRNA
ENSG00000117707	PROX1	prospero homeobox 1	protein_coding
ENSG00000249437	NAIP	NLR family apoptosis inhibitory protein	protein_coding
ENSG00000164292	RHOBTB3	Rho related BTB domain containing 3	protein_coding
ENSG00000228242	XPC-AS1	XPC antisense RNA 1	lncRNA
ENSG00000102908	NFAT5	nuclear factor of activated T cells 5	protein_coding
ENSG00000260555		novel transcript	lncRNA
ENSG00000146530	VWDE	von Willebrand factor D and EGF domains	protein_coding
ENSG00000131484		novel transcript	lncRNA
ENSG00000260244		novel transcript, overlapping GUCY1A3	lncRNA
ENSG00000095739	BAMBI	BMP and activin membrane bound inhibitor	protein_coding
ENSG00000183908	LRRC55	leucine rich repeat containing 55	protein_coding
ENSG00000075826	SEC31B	SEC31 homolog B, COPII coat complex component	protein_coding
ENSG00000163898	LIPH	lipase H	protein_coding
ENSG00000253485	PCDHGA5	protocadherin gamma subfamily A, 5	protein_coding
ENSG00000131044	TTLL9	tubulin tyrosine ligase like 9	protein_coding
ENSG00000251152		novel transcript	lncRNA
ENSG00000170373	CST1	cystatin SN	protein_coding
ENSG00000124406	ATP8A1	ATPase phospholipid transporting 8A1	protein_coding
ENSG00000135473	PAN2	poly(A) specific ribonuclease subunit PAN2	protein_coding
ENSG00000185885	IFITM1	interferon induced transmembrane protein 1	protein_coding
ENSG00000273295		novel transcript	lncRNA
ENSG00000161048	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	protein_coding
ENSG00000286025	FAM246C	family with sequence similarity 246 member C (gene/pseudogene)	protein_coding
ENSG00000162888	IKBKE-AS1	IKBKE antisense RNA 1	lncRNA
ENSG00000165338	HECTD2	HECT domain E3 ubiquitin protein ligase 2	protein_coding
ENSG00000157741	UBN2	ubinuclein 2	protein_coding
ENSG00000235703	EOLA2-DT	EOLA2 divergent transcript	lncRNA
ENSG00000225790		novel transcript	lncRNA
ENSG00000140030	GPR65	G protein-coupled receptor 65	protein_coding
ENSG00000289956		novel transcript	lncRNA
ENSG00000091844	RGS17	regulator of G protein signaling 17	protein_coding
ENSG00000283765		novel protein	protein_coding
ENSG00000212939		novel transcript	lncRNA
ENSG00000258926		novel transcript, antisense to PRKCH	lncRNA
ENSG00000274422		novel transcript	lncRNA
ENSG00000205307	SAP25	Sin3A associated protein 25	protein_coding
ENSG00000213886	UBD	ubiquitin D	protein_coding
ENSG00000155629	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	protein_coding
ENSG00000170835	CEL	carboxyl ester lipase	protein_coding
ENSG00000273420		novel transcript	lncRNA
ENSG00000227733		novel transcript	lncRNA
ENSG00000261098		novel transcript	lncRNA
ENSG00000260711		novel transcript, intronic to CATSPERB	lncRNA
ENSG00000269821	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	lncRNA
ENSG00000131398	KCNC3	potassium voltage-gated channel subfamily C member 3	protein_coding
