ENSEMBL	Symbol	Description	Biotype
ENSG00000186919	ZACN	zinc activated ion channel	protein_coding
ENSG00000173706	HEG1	heart development protein with EGF like domains 1	protein_coding
ENSG00000167779	IGFBP6	insulin like growth factor binding protein 6	protein_coding
ENSG00000119938	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	protein_coding
ENSG00000140398	NEIL1	nei like DNA glycosylase 1	protein_coding
ENSG00000196159	FAT4	FAT atypical cadherin 4	protein_coding
ENSG00000267149		novel transcript	lncRNA
ENSG00000249437	NAIP	NLR family apoptosis inhibitory protein	protein_coding
ENSG00000228242	XPC-AS1	XPC antisense RNA 1	lncRNA
ENSG00000260555		novel transcript	lncRNA
ENSG00000183908	LRRC55	leucine rich repeat containing 55	protein_coding
ENSG00000075826	SEC31B	SEC31 homolog B, COPII coat complex component	protein_coding
ENSG00000131044	TTLL9	tubulin tyrosine ligase like 9	protein_coding
ENSG00000251152		novel transcript	lncRNA
ENSG00000135473	PAN2	poly(A) specific ribonuclease subunit PAN2	protein_coding
ENSG00000124406	ATP8A1	ATPase phospholipid transporting 8A1	protein_coding
ENSG00000122012	SV2C	synaptic vesicle glycoprotein 2C	protein_coding
ENSG00000165338	HECTD2	HECT domain E3 ubiquitin protein ligase 2	protein_coding
ENSG00000140030	GPR65	G protein-coupled receptor 65	protein_coding
ENSG00000235703	EOLA2-DT	EOLA2 divergent transcript	lncRNA
ENSG00000095585	BLNK	B cell linker	protein_coding
ENSG00000212939		novel transcript	lncRNA
ENSG00000213886	UBD	ubiquitin D	protein_coding
ENSG00000227733		novel transcript	lncRNA
ENSG00000260711		novel transcript, intronic to CATSPERB	lncRNA
ENSG00000269821	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	lncRNA
ENSG00000286912		novel transcript	lncRNA
ENSG00000162814	SPATA17	spermatogenesis associated 17	protein_coding
ENSG00000145431	PDGFC	platelet derived growth factor C	protein_coding
ENSG00000117834	SLC5A9	solute carrier family 5 member 9	protein_coding
ENSG00000138131	LOXL4	lysyl oxidase like 4	protein_coding
ENSG00000291032		novel transcript	lncRNA
ENSG00000254995	STX16-NPEPL1	STX16-NPEPL1 readthrough (NMD candidate)	protein_coding
ENSG00000109743	BST1	bone marrow stromal cell antigen 1	protein_coding
ENSG00000261949	GFY	golgi associated olfactory signaling regulator	protein_coding
ENSG00000187867	PALM3	paralemmin 3	protein_coding
ENSG00000227507	LTB	lymphotoxin beta	protein_coding
ENSG00000281344	HELLPAR	HELLP associated long non-coding RNA	lncRNA
ENSG00000158023	CFAP251	cilia and flagella associated protein 251	protein_coding
ENSG00000134321	RSAD2	radical S-adenosyl methionine domain containing 2	protein_coding
ENSG00000280213	UCKL1-AS1	UCKL1 antisense RNA 1	lncRNA
ENSG00000271959		novel transcript, antisense to MROH5	lncRNA
ENSG00000138449	SLC40A1	solute carrier family 40 member 1	protein_coding
ENSG00000070404	FSTL3	follistatin like 3	protein_coding
ENSG00000132122	SPATA6	spermatogenesis associated 6	protein_coding
ENSG00000181499	OR6T1	olfactory receptor family 6 subfamily T member 1	protein_coding
ENSG00000001617	SEMA3F	semaphorin 3F	protein_coding
ENSG00000240207		novel transcript, antisense to RARRES1	lncRNA
ENSG00000224505	HEXIM2-AS1	HEXIM2 antisense RNA 1	lncRNA
ENSG00000181085	MAPK15	mitogen-activated protein kinase 15	protein_coding
ENSG00000183690	EFHC2	EF-hand domain containing 2	protein_coding
ENSG00000137267	TUBB2A	tubulin beta 2A class IIa	protein_coding
ENSG00000205403	CFI	complement factor I	protein_coding
ENSG00000100558	PLEK2	pleckstrin 2	protein_coding
ENSG00000164746	C7orf57	chromosome 7 open reading frame 57	protein_coding
ENSG00000153347	FAM81B	family with sequence similarity 81 member B	protein_coding
